Site Number,Site Name,Country,City,State,PI Name,PI Email,Status,Target Enrollment
001,Research Site,United States,Jasper,AL,,,Completed,10
002,Research Site,United States,Tucson,AZ,,,Completed,12
003,Research Site,United States,Long Beach,CA,,,Completed,10
004,Research Site,United States,Northridge,CA,,,Completed,12
005,Research Site,United States,Cutler Bay,FL,,,Completed,10
006,Research Site,United States,Miami,FL,,,Completed,15
007,Research Site,United States,Miami,FL,,,Completed,12
008,Research Site,United States,Pompano Beach,FL,,,Completed,10
009,Research Site,United States,Chicago,IL,,,Completed,12
010,Research Site,United States,Lake Charles,LA,,,Completed,10
011,Research Site,United States,St Louis,MO,,,Completed,10
012,Research Site,United States,La Vista,NE,,,Completed,8
013,Research Site,United States,New York,NY,,,Completed,15
014,Research Site,United States,Charlotte,NC,,,Completed,10
015,Research Site,United States,Charlotte,NC,,,Completed,10
016,Research Site,United States,Statesville,NC,,,Completed,8
017,Research Site,United States,Fargo,ND,,,Completed,10
018,Research Site,United States,Columbus,OH,,,Completed,12
019,Research Site,United States,West Columbia,SC,,,Completed,10
020,Research Site,United States,Dallas,TX,,,Completed,12
021,Research Site,United States,Houston,TX,,,Completed,15
022,Research Site,United States,Houston,TX,,,Completed,12
023,Research Site,United States,Houston,TX,,,Completed,10
024,Research Site,United States,Humble,TX,,,Completed,8
025,Research Site,Argentina,Buenos Aires,,,,Completed,12
026,Research Site,Argentina,Buenos Aires,,,,Completed,10
027,Research Site,Argentina,Buenos Aires,,,,Completed,10
028,Research Site,Argentina,Munro,,,,Completed,8
029,Research Site,Brazil,Blumenau,,,,Completed,10
030,Research Site,Brazil,Porto Alegre,,,,Completed,12
031,Research Site,Brazil,Ribeirao Preto,,,,Completed,10
032,Research Site,Brazil,Sao Paulo,,,,Completed,12
033,Research Site,Brazil,Sorocaba,,,,Completed,10
034,Research Site,Czechia,Hradec Kralove,,,,Completed,8
035,Research Site,Czechia,Kolin,,,,Completed,6
036,Research Site,Czechia,Svitavy,,,,Completed,6
037,Research Site,Germany,Berlin,,,,Completed,10
038,Research Site,Germany,Berlin,,,,Completed,8
039,Research Site,Germany,Cologne,,,,Completed,10
040,Research Site,Germany,Frankfurt,,,,Completed,10
041,Research Site,Germany,Frankfurt am Main,,,,Completed,8
042,Research Site,Germany,Friedrichshain,,,,Completed,8
043,Research Site,Germany,Hamburg,,,,Completed,10
044,Research Site,Germany,Hanover,,,,Completed,10
045,Research Site,Germany,Koblenz,,,,Completed,8
046,Research Site,Germany,Mainz,,,,Completed,8
047,Research Site,Germany,Munchen,,,,Completed,10
048,Research Site,Germany,Munchen-Pasing,,,,Completed,8
049,Research Site,United Kingdom,Blackpool,,,,Completed,10
050,Research Site,United Kingdom,Cambridge,,,,Completed,12
